DT_DATA,NR_ANO,NR_MES,NM_MES,NR_DIA,NR_DIA_SEMANA,NM_DIA_SEMANA,FLG_FINAL_SEMANA,FLG_FERIADO
2020-06-20,2020,6,June,20,7,Saturday,true,false
2020-07-22,2020,7,July,22,4,Wednesday,false,false
2020-09-07,2020,9,September,7,2,Monday,false,false
2020-10-04,2020,10,October,4,1,Sunday,true,false
2020-10-28,2020,10,October,28,4,Wednesday,false,false
2020-11-05,2020,11,November,5,5,Thursday,false,false
2020-12-18,2020,12,December,18,6,Friday,false,false
2021-01-30,2021,1,January,30,7,Saturday,true,false
2021-04-07,2021,4,April,7,4,Wednesday,false,false
2021-05-22,2021,5,May,22,7,Saturday,true,false
2021-06-19,2021,6,June,19,7,Saturday,true,false
2021-08-30,2021,8,August,30,2,Monday,false,false
2021-09-05,2021,9,September,5,1,Sunday,true,false
2021-09-08,2021,9,September,8,4,Wednesday,false,false
2021-10-25,2021,10,October,25,2,Monday,false,false
2021-11-13,2021,11,November,13,7,Saturday,true,false
2022-01-31,2022,1,January,31,2,Monday,false,false
2022-02-16,2022,2,February,16,4,Wednesday,false,false
2022-03-26,2022,3,March,26,7,Saturday,true,false
2022-04-11,2022,4,April,11,2,Monday,false,false
2022-04-12,2022,4,April,12,3,Tuesday,false,false
2022-06-09,2022,6,June,9,5,Thursday,false,false
2022-07-28,2022,7,July,28,5,Thursday,false,false
2022-08-09,2022,8,August,9,3,Tuesday,false,false
2022-12-16,2022,12,December,16,6,Friday,false,false
2023-01-11,2023,1,January,11,4,Wednesday,false,false
2023-02-20,2023,2,February,20,2,Monday,false,false
2023-09-15,2023,9,September,15,6,Friday,false,false
2024-01-19,2024,1,January,19,6,Friday,false,false
2024-03-10,2024,3,March,10,1,Sunday,true,false
2024-04-02,2024,4,April,2,3,Tuesday,false,false
2024-04-21,2024,4,April,21,1,Sunday,true,false
2024-08-01,2024,8,August,1,5,Thursday,false,false
2024-08-14,2024,8,August,14,4,Wednesday,false,false
2024-08-27,2024,8,August,27,3,Tuesday,false,false
2024-11-02,2024,11,November,2,7,Saturday,true,false
2024-11-16,2024,11,November,16,7,Saturday,true,false
2024-12-04,2024,12,December,4,4,Wednesday,false,false
2025-01-09,2025,1,January,9,5,Thursday,false,false
2025-01-25,2025,1,January,25,7,Saturday,true,false
2025-02-27,2025,2,February,27,5,Thursday,false,false
2025-03-30,2025,3,March,30,1,Sunday,true,false
2025-05-13,2025,5,May,13,3,Tuesday,false,false
2025-08-02,2025,8,August,2,7,Saturday,true,false
2025-10-02,2025,10,October,2,5,Thursday,false,false
2025-10-12,2025,10,October,12,1,Sunday,true,false
2025-11-29,2025,11,November,29,7,Saturday,true,false
2025-12-18,2025,12,December,18,5,Thursday,false,false
2026-01-12,2026,1,January,12,2,Monday,false,false
2026-04-29,2026,4,April,29,4,Wednesday,false,false
2026-05-17,2026,5,May,17,1,Sunday,true,false
2026-07-10,2026,7,July,10,6,Friday,false,false
2026-07-20,2026,7,July,20,2,Monday,false,false
2026-07-24,2026,7,July,24,6,Friday,false,false
2026-07-30,2026,7,July,30,5,Thursday,false,false
2026-08-11,2026,8,August,11,3,Tuesday,false,false
2026-09-14,2026,9,September,14,2,Monday,false,false
2026-10-28,2026,10,October,28,4,Wednesday,false,false
2027-01-14,2027,1,January,14,5,Thursday,false,false
2027-01-25,2027,1,January,25,2,Monday,false,false
2027-02-21,2027,2,February,21,1,Sunday,true,false
2027-02-28,2027,2,February,28,1,Sunday,true,false
2027-05-10,2027,5,May,10,2,Monday,false,false
2027-07-22,2027,7,July,22,5,Thursday,false,false
2027-09-13,2027,9,September,13,2,Monday,false,false
2027-11-30,2027,11,November,30,3,Tuesday,false,false
2028-01-20,2028,1,January,20,5,Thursday,false,false
2028-01-29,2028,1,January,29,7,Saturday,true,false
2028-04-04,2028,4,April,4,3,Tuesday,false,false
2028-05-13,2028,5,May,13,7,Saturday,true,false
2028-06-05,2028,6,June,5,2,Monday,false,false
2028-06-19,2028,6,June,19,2,Monday,false,false
2028-09-04,2028,9,September,4,2,Monday,false,false
2028-11-17,2028,11,November,17,6,Friday,false,false
2029-03-29,2029,3,March,29,5,Thursday,false,false
2029-05-13,2029,5,May,13,1,Sunday,true,false
2029-05-28,2029,5,May,28,2,Monday,false,false
2029-07-03,2029,7,July,3,3,Tuesday,false,false
2029-08-22,2029,8,August,22,4,Wednesday,false,false
2029-10-10,2029,10,October,10,4,Wednesday,false,false
2029-10-15,2029,10,October,15,2,Monday,false,false
2029-12-01,2029,12,December,1,7,Saturday,true,false
2030-01-23,2030,1,January,23,4,Wednesday,false,false
2030-02-25,2030,2,February,25,2,Monday,false,false
2030-03-07,2030,3,March,7,5,Thursday,false,false
2030-03-21,2030,3,March,21,5,Thursday,false,false
2030-05-21,2030,5,May,21,3,Tuesday,false,false
2030-06-11,2030,6,June,11,3,Tuesday,false,false
2030-07-12,2030,7,July,12,6,Friday,false,false
2030-09-10,2030,9,September,10,3,Tuesday,false,false
2030-11-15,2030,11,November,15,6,Friday,false,false
